Year,Population,Yearly,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban Population,World Population,Malaysia
,,Change,,,,,,,Global Rank
2050,"41,729,217","193,658","50,000",40.2,1.74,127,"36,162,668","9,771,822,753",50
2045,"40,760,928","218,533","50,000",39.1,1.76,124,"34,905,173","9,504,209,572",48
2040,"39,668,262","257,518","50,000",37.7,1.78,121,"33,533,966","9,210,337,004",48
2035,"38,380,670","313,140","50,000",36,1.81,117,"32,011,953","8,892,701,940",47
2030,"36,814,968","373,042","50,000",34.1,1.86,112,"30,181,596","8,551,198,644",45
2025,"34,949,758","416,087","50,000",32,1.93,106,"28,005,193","8,185,613,757",47
2020,"32,869,323","429,234","50,000",29.9,2.01,100,"25,544,486","7,795,482,309",45
2019,"32,454,455","411,997","50,000",28.1,2.09,99,"25,029,766","7,714,576,923",45
2018,"32,042,458","418,194","50,000",28.1,2.09,98,"24,509,005","7,632,819,325",45
2017,"31,624,264","436,999","50,000",28.1,2.09,96,"23,981,117","7,550,262,101",45
2016,"31,187,265","464,110","50,000",28.1,2.09,95,"23,444,458","7,466,964,280",45
2015,"30,723,155","522,173","156,330",27.7,2.11,94,"22,898,099","7,383,008,820",45
2010,"28,112,289","490,579","142,259",26,2.22,86,"20,050,923","6,958,169,159",44
2005,"25,659,393","494,757","129,107",25,2.45,78,"17,210,135","6,542,159,383",43
2000,"23,185,608","538,002","98,944",23.8,3.13,71,"14,515,387","6,145,006,989",44
1995,"20,495,597","491,455","59,762",22.5,3.44,62,"11,541,559","5,751,474,416",46
1990,"18,038,321","487,876","87,082",21.6,3.67,55,"9,068,005","5,330,943,460",45
1985,"15,598,942","360,163","-14,274",20.5,3.97,47,"7,234,794","4,873,781,796",48
1980,"13,798,125","327,151","-1,390",19.5,4.2,42,"5,816,219","4,458,411,534",49
1975,"12,162,369","271,678","-26,302",18.6,4.72,37,"4,635,637","4,079,087,198",49
1970,"10,803,978","255,483","-26,940",17.6,5.38,33,"3,649,380","3,700,577,650",49
1965,"9,526,563","273,891","-4,330",18.5,6.35,29,"2,862,596","3,339,592,688",56
1960,"8,157,106","223,477","-11,264",17.6,6.38,25,"2,170,621","3,033,212,527",53
1955,"7,039,719","185,961","-4,330",18.5,6.35,21,"1,642,973","2,772,242,535",56
